"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+3"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","0"
"5",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","0"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+4"
"7",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-4"
"8",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","0"
"9",2,"Puka Nacua",LAR,"WR6","8","3 out of 5 stars","0"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-4"
"12",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+3"
"13",2,"Drake London",ATL,"WR9","5","3 out of 5 stars","+6"
"14",3,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars","-2"
"15",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+3"
"16",3,"De'Von Achane",MIA,"RB6","12","4 out of 5 stars","-3"
"17",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","0"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+8"
"19",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+8"
"20",3,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-9"
"21",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+11"
"22",4,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars","+6"
"23",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-2"
"24",4,"Garrett Wilson",NYJ,"WR14","9","4 out of 5 stars","+13"
"25",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-3"
"26",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","-1"
"27",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","+2"
"28",4,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-12"
"29",4,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","-6"
"30",4,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-10"
"31",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+9"
"32",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7"
"33",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-3"
"34",4,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+7"
"35",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-11"
"36",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-1"
"37",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+6"
"38",5,"DJ Moore",CHI,"WR19","5","2 out of 5 stars","+9"
"39",5,"Terry McLaurin",WAS,"WR20","12","3 out of 5 stars","+5"
"40",5,"Alvin Kamara",NO,"RB13","11","4 out of 5 stars","-4"
"41",5,"Kenneth Walker III",SEA,"RB14","8","3 out of 5 stars","+1"
"42",5,"James Cook",BUF,"RB15","7","4 out of 5 stars","-11"
"43",5,"Breece Hall",NYJ,"RB16","9","5 out of 5 stars","-9"
"44",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+4"
"45",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+6"
"46",5,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-8"
"47",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-14"
"48",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+6"
"49",6,"Tetairoa McMillan",CAR,"WR24","14","4 out of 5 stars","+11"
"50",6,"James Conner",ARI,"RB18","8","3 out of 5 stars","-4"
"51",6,"Chuba Hubbard",CAR,"RB19","14","3 out of 5 stars","-6"
"52",6,"Zay Flowers",BAL,"WR25","7","3 out of 5 stars","+7"
"53",6,"Jaylen Waddle",MIA,"WR26","12","3 out of 5 stars","+19"
"54",6,"Xavier Worthy",KC,"WR27","10","3 out of 5 stars","-1"
"55",6,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","-6"
"56",6,"Calvin Ridley",TEN,"WR28","10","4 out of 5 stars","+9"
"57",6,"George Pickens",DAL,"WR29","10","2 out of 5 stars","+11"
"58",6,"Jameson Williams",DET,"WR30","8","3 out of 5 stars","0"
"59",6,"Chris Olave",NO,"WR31","11","4 out of 5 stars","+18"
"60",6,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","-4"
"61",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-11"
"62",6,"Tony Pollard",TEN,"RB22","10","2 out of 5 stars","+8"
"63",6,"T.J. Hockenson",MIN,"TE4","6","3 out of 5 stars","-2"
"64",6,"David Montgomery",DET,"RB23","8","2 out of 5 stars","-7"
"65",6,"RJ Harvey",DEN,"RB24","12","2 out of 5 stars","-2"
"66",6,"Travis Hunter",JAC,"WR32","8","4 out of 5 stars","+3"
"67",6,"Aaron Jones Sr.",MIN,"RB25","6","3 out of 5 stars","-1"
"68",6,"Rashee Rice",KC,"WR33","10","3 out of 5 stars","-13"
"69",6,"Isiah Pacheco",KC,"RB26","10","2 out of 5 stars","-2"
"70",7,"Jerry Jeudy",CLE,"WR34","9","2 out of 5 stars","+4"
"71",7,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-7"
"72",7,"Sam LaPorta",DET,"TE5","8","3 out of 5 stars","-20"
"73",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","-2"
"74",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-12"
"75",7,"Stefon Diggs",NE,"WR35","14","3 out of 5 stars","+6"
"76",7,"Rome Odunze",CHI,"WR36","5","2 out of 5 stars","+2"
"77",7,"Jakobi Meyers",LV,"WR37","8","4 out of 5 stars","+7"
"78",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+5"
"79",7,"Tyrone Tracy Jr.",NYG,"RB27","14","3 out of 5 stars","+1"
"80",7,"David Njoku",CLE,"TE7","9","3 out of 5 stars","+5"
"81",7,"Jaylen Warren",PIT,"RB28","5","4 out of 5 stars","+7"
"82",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars","0"
"83",7,"Ricky Pearsall",SF,"WR38","14","4 out of 5 stars","+9"
"84",7,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+16"
"85",7,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-10"
"86",7,"Kaleb Johnson",PIT,"RB29","5","4 out of 5 stars","-10"
"87",7,"Emeka Egbuka",TB,"WR39","9","3 out of 5 stars","+14"
"88",7,"Travis Etienne Jr.",JAC,"RB30","8","2 out of 5 stars","+5"
"89",8,"Khalil Shakir",BUF,"WR40","7","3 out of 5 stars","+7"
"90",8,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+5"
"91",8,"Jauan Jennings",SF,"WR41","14","4 out of 5 stars","+7"
"92",8,"Jordan Addison",MIN,"WR42","6","2 out of 5 stars","-3"
"93",8,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+13"
"94",8,"Deebo Samuel Sr.",WAS,"WR43","12","3 out of 5 stars","-15"
"95",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+12"
"96",8,"Josh Downs",IND,"WR44","11","4 out of 5 stars","+22"
"97",8,"Chris Godwin Jr.",TB,"WR45","9","3 out of 5 stars","+61"
"98",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+18"
"99",8,"Michael Pittman Jr.",IND,"WR46","11","4 out of 5 stars","+16"
"100",8,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+24"
"101",8,"Joe Mixon",HOU,"RB31","6","2 out of 5 stars","-28"
"102",8,"Zach Charbonnet",SEA,"RB32","8","3 out of 5 stars","+12"
"103",8,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-6"
"104",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-18"
"105",8,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars","0"
"106",8,"Javonte Williams",DAL,"RB34","10","2 out of 5 stars","-3"
"107",8,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars","+2"
"108",8,"Tyler Warren",IND,"TE11","11","3 out of 5 stars","-14"
"109",8,"Jayden Reed",GB,"WR48","5","2 out of 5 stars","+3"
"110",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+27"
"111",8,"Matthew Golden",GB,"WR49","5","2 out of 5 stars","-20"
"112",8,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+22"
"113",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+43"
"114",8,"Rhamondre Stevenson",NE,"RB35","14","4 out of 5 stars","-4"
"115",8,"J.K. Dobbins",DEN,"RB36","12","2 out of 5 stars","-11"
"116",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+6"
"117",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+24"
"118",9,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","+18"
"119",9,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+2"
"120",9,"Austin Ekeler",WAS,"RB37","12","2 out of 5 stars","+10"
"121",9,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars","+17"
"122",9,"Tyjae Spears",TEN,"RB39","10","2 out of 5 stars","+18"
"123",9,"Cam Skattebo",NYG,"RB40","14","3 out of 5 stars","-24"
"124",9,"Quinshon Judkins",CLE,"RB41","9","4 out of 5 stars","-34"
"125",9,"Rachaad White",TB,"RB42","9","3 out of 5 stars","+14"
"126",9,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","-9"
"127",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+2"
"128",9,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars","+17"
"129",9,"Brandon Aiyuk",SF,"WR53","14","4 out of 5 stars","-3"
"130",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-19"
"131",9,"Najee Harris",LAC,"RB43","12","2 out of 5 stars","-11"
"132",9,"Christian Kirk",HOU,"WR54","6","4 out of 5 stars","+14"
"133",9,"Jacory Croskey-Merritt",WAS,"RB44","12","2 out of 5 stars","+14"
"134",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+35"
"135",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+40"
"136",9,"Braelon Allen",NYJ,"RB45","9","5 out of 5 stars","+17"
"137",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+40"
"138",9,"Brian Robinson Jr.",SF,"RB46","14","3 out of 5 stars","-51"
"139",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+28"
"140",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+50"
"141",9,"Ray Davis",BUF,"RB47","7","4 out of 5 stars","+29"
"142",9,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+23"
"143",9,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+14"
"144",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","+27"
"145",9,"Marvin Mims Jr.",DEN,"WR58","12","3 out of 5 stars","+6"
"146",9,"Kyle Pitts Sr.",ATL,"TE17","5","3 out of 5 stars","-19"
"147",9,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-12"
"148",9,"Jerome Ford",CLE,"RB50","9","4 out of 5 stars","+15"
"149",9,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+32"
"150",9,"Tyler Allgeier",ATL,"RB51","5","4 out of 5 stars","+12"
"151",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+38"
"152",10,"Jonnu Smith",PIT,"TE18","5","3 out of 5 stars","-20"
"153",10,"Jayden Higgins",HOU,"WR59","6","4 out of 5 stars","-9"
"154",10,"Wan'Dale Robinson",NYG,"WR60","14","2 out of 5 stars","+30"
"155",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-5"
"156",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-54"
"157",10,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","+7"
"158",10,"Keenan Allen",LAC,"WR62","12","3 out of 5 stars","-10"
"159",10,"Romeo Doubs",GB,"WR63","5","2 out of 5 stars","+54"
"160",10,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","+45"
"161",10,"Bhayshul Tuten",JAC,"RB53","8","2 out of 5 stars","-7"
"162",10,"Nick Chubb",HOU,"RB54","6","2 out of 5 stars","-13"
"163",10,"DeMario Douglas",NE,"WR64","14","3 out of 5 stars","+52"
"164",10,"Adam Thielen",CAR,"WR65","14","4 out of 5 stars","+8"
"165",10,"Isaac Guerendo",SF,"RB55","14","3 out of 5 stars","-10"
"166",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+67"
"167",10,"Dylan Sampson",CLE,"RB56","9","4 out of 5 stars","+39"
"168",10,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","+6"
"169",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-56"
"170",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+38"
"171",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-46"
"172",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+19"
"173",10,"Tre' Harris",LAC,"WR67","12","3 out of 5 stars","+29"
"174",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-55"
"175",10,"Joshua Palmer",BUF,"WR68","7","3 out of 5 stars","+59"
"176",10,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+3"
"177",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-35"
"178",10,"Jaylen Wright",MIA,"RB57","12","4 out of 5 stars","+2"
"179",10,"Quentin Johnston",LAC,"WR70","12","3 out of 5 stars","+40"
"180",10,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-47"
"181",10,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-50"
"182",10,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-74"
"183",10,"Roschon Johnson",CHI,"RB58","5","3 out of 5 stars","+37"
"184",10,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","-16"
"185",11,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-26"
"186",11,"Jake Bates",DET,"K2","8","1 out of 5 stars","-63"
"187",11,"Chig Okonkwo",TEN,"TE21","10","3 out of 5 stars","+24"
"188",11,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-60"
"189",11,"DeAndre Hopkins",BAL,"WR71","7","3 out of 5 stars","+18"
"190",11,"Mike Gesicki",CIN,"TE22","10","2 out of 5 stars","+35"
"191",11,"Pat Freiermuth",PIT,"TE23","5","3 out of 5 stars","+2"
"192",11,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","+20"
"193",11,"Los Angeles Chargers",LAC,"DST10","12","5 out of 5 stars","+1"
"194",11,"Jalen Coker",CAR,"WR72","14","4 out of 5 stars","+107"
"195",11,"Blake Corum",LAR,"RB59","8","3 out of 5 stars","+48"
"196",11,"Seattle Seahawks",SEA,"DST11","8","3 out of 5 stars","-10"
"197",11,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-14"
"198",11,"Los Angeles Rams",LAR,"DST12","8","3 out of 5 stars","+2"
"199",11,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","-38"
"200",11,"Cade Otton",TB,"TE24","9","3 out of 5 stars","-8"
"201",11,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","-58"
"202",11,"Green Bay Packers",GB,"DST13","5","2 out of 5 stars","-15"
"203",11,"Mason Taylor",NYJ,"TE25","9","3 out of 5 stars","+45"
"204",11,"Chris Boswell",PIT,"K7","5","1 out of 5 stars","-52"
"205",11,"Michael Wilson",ARI,"WR73","8","4 out of 5 stars","+104"
"206",11,"Jalen McMillan",TB,"WR74","9","3 out of 5 stars","+39"
"207",11,"Alec Pierce",IND,"WR75","11","4 out of 5 stars","+44"
"208",11,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-35"
"209",11,"Justice Hill",BAL,"RB60","7","4 out of 5 stars","+28"
"210",11,"Isaiah Likely",BAL,"TE26","7","3 out of 5 stars","-28"
"211",11,"Tyler Bass",BUF,"K9","7","2 out of 5 stars","-33"
"212",11,"MarShawn Lloyd",GB,"RB61","5","4 out of 5 stars","+18"
"213",11,"Jack Bech",LV,"WR76","8","4 out of 5 stars","+22"
"214",11,"Adonai Mitchell",IND,"WR77","11","4 out of 5 stars","+65"
"215",11,"Evan McPherson",CIN,"K10","10","1 out of 5 stars","-20"
"216",11,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","-12"
"217",11,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","+5"
"218",11,"Darius Slayton",NYG,"WR78","14","2 out of 5 stars","+58"
"219",11,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-53"
"220",11,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-60"
"221",11,"Elic Ayomanor",TEN,"WR79","10","4 out of 5 stars","+44"
"222",11,"Kareem Hunt",KC,"RB63","10","2 out of 5 stars","-13"
"223",11,"Woody Marks",HOU,"RB64","6","2 out of 5 stars","+45"
"224",11,"Kyle Monangai",CHI,"RB65","5","3 out of 5 stars","+37"
"225",11,"Andrei Iosivas",CIN,"WR80","10","3 out of 5 stars","+75"
"226",11,"Ollie Gordon II",MIA,"RB66","12","4 out of 5 stars","+36"
"227",11,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","-6"
"228",11,"DJ Giddens",IND,"RB67","11","2 out of 5 stars","+29"
"229",11,"Dontayvion Wicks",GB,"WR81","5","2 out of 5 stars","+62"
"230",11,"Kendre Miller",NO,"RB68","11","4 out of 5 stars","-2"
"231",11,"Tyler Lockett",TEN,"WR82","10","4 out of 5 stars","+63"
"232",11,"Jaylin Noel",HOU,"WR83","6","4 out of 5 stars","+35"
"233",11,"Pat Bryant",DEN,"WR84","12","3 out of 5 stars","+49"
"234",11,"Miles Sanders",DAL,"RB69","10","2 out of 5 stars","+16"
"235",11,"Calvin Austin III",PIT,"WR85","5","4 out of 5 stars","-3"
"236",12,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","+83"
"237",12,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-61"
"238",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+14"
"239",12,"Keaton Mitchell",BAL,"RB70","7","4 out of 5 stars","+17"
"240",12,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","-1"
"241",12,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","+32"
"242",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-43"
"243",12,"Elijah Arroyo",SEA,"TE30","8","4 out of 5 stars","-2"
"244",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-47"
"245",12,"Dyami Brown",JAC,"WR86","8","4 out of 5 stars","+36"
"246",12,"Jalen Royals",KC,"WR87","10","3 out of 5 stars","+14"
"247",12,"Matt Gay",WAS,"K14","12","3 out of 5 stars","-33"
"248",12,"Roman Wilson",PIT,"WR88","5","4 out of 5 stars","+11"
"249",12,"Jaleel McLaughlin",DEN,"RB71","12","2 out of 5 stars","+23"
"250",12,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","+5"
"251",12,"Diontae Johnson",CLE,"WR89","9","2 out of 5 stars","+52"
"252",12,"Tahj Brooks",CIN,"RB72","10","4 out of 5 stars","+34"
"253",12,"Devaughn Vele",NO,"WR90","11","4 out of 5 stars","+131"
"254",12,"Anthony Richardson Sr.",IND,"QB31","11","3 out of 5 stars","-28"
"255",12,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-45"
"256",12,"Raheem Mostert",LV,"RB73","8","2 out of 5 stars","-33"
"257",12,"Chris Rodriguez Jr.",WAS,"RB74","12","2 out of 5 stars","+71"
