"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"258",12,"Tory Horton",SEA,"WR91","8","3 out of 5 stars","-18"
"259",12,"Devin Neal",NO,"RB75","11","4 out of 5 stars","+45"
"260",12,"Brashard Smith",KC,"RB76","10","2 out of 5 stars","+18"
"261",12,"Jarquez Hunter",LAR,"RB77","8","3 out of 5 stars","+28"
"262",12,"Dont'e Thornton Jr.",LV,"WR92","8","4 out of 5 stars","-8"
"263",12,"Brandin Cooks",NO,"WR93","11","4 out of 5 stars","+120"
"264",12,"Jalen Tolbert",DAL,"WR94","10","2 out of 5 stars","+86"
"265",12,"Sean Tucker",TB,"RB78","9","3 out of 5 stars","+43"
"266",12,"Malik Washington",MIA,"WR95","12","3 out of 5 stars","+156"
"267",12,"Elijah Moore",BUF,"WR96","7","3 out of 5 stars","+60"
"268",12,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","+6"
"269",12,"Kayshon Boutte",NE,"WR97","14","3 out of 5 stars","+8"
"270",12,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","+25"
"271",12,"Elijah Mitchell",KC,"RB79","10","2 out of 5 stars","-13"
"272",12,"Trevor Etienne",CAR,"RB80","14","3 out of 5 stars","-36"
"273",12,"Kenneth Gainwell",PIT,"RB81","5","4 out of 5 stars","+59"
"274",12,"Theo Johnson",NYG,"TE32","14","2 out of 5 stars","+31"
"275",12,"Devin Singletary",NYG,"RB82","14","3 out of 5 stars","+24"
"276",12,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars","+36"
"277",12,"Antonio Gibson",NE,"RB83","14","4 out of 5 stars","+8"
"278",12,"Nick Westbrook-Ikhine",MIA,"WR98","12","3 out of 5 stars","+94"
"279",12,"Noah Gray",KC,"TE34","10","3 out of 5 stars","-15"
"280",12,"Tre Tucker",LV,"WR99","8","4 out of 5 stars","+78"
"281",12,"Isaac TeSlaa",DET,"WR100","8","3 out of 5 stars","-50"
"282",12,"Ty Johnson",BUF,"RB84","7","4 out of 5 stars","+35"
"283",12,"Audric Estime",DEN,"RB85","12","2 out of 5 stars","+27"
"284",12,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-31"
"285",12,"Dameon Pierce",HOU,"RB86","6","2 out of 5 stars","+22"
"286",12,"Jalen Nailor",MIN,"WR101","6","2 out of 5 stars","+32"
"287",13,"Tyler Shough",NO,"QB33","11","5 out of 5 stars","+29"
"288",13,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-92"
"289",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-73"
"290",13,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars","-41"
"291",13,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","+303"
"292",13,"Parker Washington",JAC,"WR102","8","4 out of 5 stars","+116"
"293",13,"Luke McCaffrey",WAS,"WR103","12","3 out of 5 stars","+20"
"294",13,"Tim Patrick",DET,"WR104","8","3 out of 5 stars","+53"
"295",13,"Taysom Hill",NO,"TE36","11","3 out of 5 stars","-49"
"296",13,"Tyler Loop",BAL,"K16","7","2 out of 5 stars","-111"
"297",13,"Jordan James",SF,"RB88","14","3 out of 5 stars","-14"
"298",13,"Daniel Carlson",LV,"K17","8","3 out of 5 stars","-81"
"299",13,"Will Reichard",MIN,"K18","6","0 out of 5 stars","-72"
"300",13,"Xavier Restrepo",TEN,"WR105","10","4 out of 5 stars","+68"
"301",13,"Khalil Herbert",IND,"RB89","11","2 out of 5 stars","+258"
"302",13,"Terrance Ferguson",LAR,"TE37","8","4 out of 5 stars","-5"
"303",13,"Amari Cooper",FA,"WR106","-","-","+20"
"304",13,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","+259"
"305",13,"Christian Watson",GB,"WR107","5","2 out of 5 stars","+32"
"306",13,"Ray-Ray McCloud III",ATL,"WR108","5","3 out of 5 stars","0"
"307",13,"Sincere McCormick",LV,"RB91","8","2 out of 5 stars","+313"
"308",13,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+21"
"309",13,"Emanuel Wilson",GB,"RB92","5","4 out of 5 stars","+34"
"310",13,"Jermaine Burton",CIN,"WR109","10","3 out of 5 stars","+106"
"311",13,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-93"
"312",13,"Damien Martinez",SEA,"RB93","8","3 out of 5 stars","+39"
"313",13,"Phil Mafah",DAL,"RB94","10","2 out of 5 stars","+215"
"314",13,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-72"
"315",13,"Chris Brooks",GB,"RB95","5","4 out of 5 stars","+280"
"316",13,"Tyler Higbee",LAR,"TE39","8","4 out of 5 stars","-32"
"317",13,"Oronde Gadsden II",LAC,"TE40","12","3 out of 5 stars","+36"
"318",13,"Tutu Atwell",LAR,"WR110","8","3 out of 5 stars","+7"
"319",13,"Tez Johnson",TB,"WR111","9","3 out of 5 stars","+62"
"320",13,"Ty Chandler",MIN,"RB96","6","3 out of 5 stars","+60"
"321",13,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-123"
"322",13,"Raheim Sanders",LAC,"RB97","12","2 out of 5 stars","+397"
"323",13,"Samaje Perine",CIN,"RB98","10","4 out of 5 stars","-52"
"324",13,"Troy Franklin",DEN,"WR112","12","3 out of 5 stars","-80"
"325",13,"Jordan Whittington",LAR,"WR113","8","3 out of 5 stars","+36"
"326",13,"Josh Reynolds",NYJ,"WR114","9","4 out of 5 stars","+153"
"327",13,"Will Dissly",LAC,"TE41","12","3 out of 5 stars","+14"
"328",13,"Jason Myers",SEA,"K19","8","5 out of 5 stars","-35"
"329",13,"Ben Sinnott",WAS,"TE42","12","3 out of 5 stars","+46"
"330",13,"Zamir White",LV,"RB99","8","2 out of 5 stars","+5"
"331",13,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-39"
"332",13,"Miami Dolphins",MIA,"DST22","12","2 out of 5 stars","-62"
"333",13,"Spencer Rattler",NO,"QB36","11","5 out of 5 stars","+76"
"334",13,"Noah Brown",WAS,"WR115","12","3 out of 5 stars","+101"
"335",14,"Gabe Davis",FA,"WR116","-","-","+135"
"336",14,"Zack Moss",FA,"RB100","-","-","-98"
"337",14,"KaVontae Turpin",DAL,"WR117","10","2 out of 5 stars","+15"
"338",14,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-69"
"339",14,"Demarcus Robinson",SF,"WR118","14","4 out of 5 stars","+26"
"340",14,"A.J. Dillon",PHI,"RB101","9","3 out of 5 stars","-38"
"341",14,"Tai Felton",MIN,"WR119","6","2 out of 5 stars","+46"
"342",14,"John Metchie III",PHI,"WR120","9","3 out of 5 stars","+25"
"343",14,"Isaiah Bond",CLE,"WR121","9","2 out of 5 stars","+47"
"344",14,"KeAndre Lambert-Smith",LAC,"WR122","12","3 out of 5 stars","+19"
"345",14,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-142"
"346",14,"Justin Tucker",FA,"K20","-","-","-66"
"347",14,"Brandon McManus",GB,"K21","5","3 out of 5 stars","-123"
"348",14,"Marquez Valdes-Scantling",SEA,"WR123","8","3 out of 5 stars","-50"
"349",14,"Jaylin Lane",WAS,"WR124","12","3 out of 5 stars","+166"
"350",14,"Cam Akers",NO,"RB102","11","4 out of 5 stars","+64"
"351",14,"AJ Barner",SEA,"TE44","8","4 out of 5 stars","-7"
"352",14,"Cam Little",JAC,"K22","8","5 out of 5 stars","-164"
"353",14,"Michael Mayer",LV,"TE45","8","2 out of 5 stars","-14"
"354",14,"Dawson Knox",BUF,"TE46","7","3 out of 5 stars","-39"
"355",14,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-44"
"356",14,"Jake Moody",SF,"K23","14","5 out of 5 stars","-127"
"357",14,"Chimere Dike",TEN,"WR125","10","4 out of 5 stars","+217"
"358",14,"Olamide Zaccheaus",CHI,"WR126","5","2 out of 5 stars","-12"
"359",14,"Savion Williams",GB,"WR127","5","2 out of 5 stars","+52"
"360",14,"Luke Musgrave",GB,"TE47","5","2 out of 5 stars","-26"
"361",14,"Gus Edwards",FA,"RB103","-","-","+284"
"362",14,"Mack Hollins",NE,"WR128","14","3 out of 5 stars","+16"
"363",14,"Emari Demercado",ARI,"RB104","8","3 out of 5 stars","+220"
"364",14,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-163"
"365",14,"Allen Lazard",NYJ,"WR129","9","4 out of 5 stars","+6"
"366",14,"Curtis Samuel",BUF,"WR130","7","3 out of 5 stars","+28"
"367",14,"Donovan Edwards",NYJ,"RB105","9","5 out of 5 stars","+240"
"368",14,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-37"
"369",14,"Greg Dortch",ARI,"WR131","8","4 out of 5 stars","+127"
"370",14,"Gunnar Helm",TEN,"TE48","10","3 out of 5 stars","+47"
"371",14,"Kalel Mullings",TEN,"RB106","10","2 out of 5 stars","+160"
"372",14,"Zay Jones",ARI,"WR132","8","4 out of 5 stars","+165"
"373",14,"LeQuint Allen Jr.",JAC,"RB107","8","2 out of 5 stars","+259"
"374",14,"Dillon Gabriel",CLE,"QB40","9","2 out of 5 stars","+165"
"375",14,"Austin Hooper",NE,"TE49","14","3 out of 5 stars","-26"
"376",14,"Eddy Pineiro",FA,"K24","-","-","+114"
"377",14,"Atlanta Falcons",ATL,"DST25","5","3 out of 5 stars","-87"
"378",14,"Jahan Dotson",PHI,"WR133","9","3 out of 5 stars","-40"
"379",14,"Trey Sermon",PIT,"RB108","5","4 out of 5 stars","+178"
"380",14,"Matt Prater",FA,"K25","-","-","+169"
"381",14,"Van Jefferson",TEN,"WR134","10","4 out of 5 stars","+121"
"382",14,"Tank Dell",HOU,"WR135","6","4 out of 5 stars","-56"
"383",14,"Kenny Pickett",CLE,"QB41","9","2 out of 5 stars","+32"
"384",14,"Indianapolis Colts",IND,"DST26","11","4 out of 5 stars","-121"
"385",14,"Jimmy Garoppolo",LAR,"QB42","8","3 out of 5 stars","-26"
"386",14,"Kyle Juszczyk",SF,"RB109","14","3 out of 5 stars","+38"
"387",14,"Foster Moreau",NO,"TE50","11","3 out of 5 stars","+213"
"388",14,"Hunter Renfrow",CAR,"WR136","14","4 out of 5 stars","-55"
"389",14,"Jacob Cowing",SF,"WR137","14","4 out of 5 stars","+248"
"390",15,"Craig Reynolds",DET,"RB110","8","2 out of 5 stars","+2"
"391",15,"Robert Woods",PIT,"WR138","5","4 out of 5 stars","+14"
"392",15,"Theo Wease Jr.",MIA,"WR139","12","3 out of 5 stars","-"
"393",15,"Luke Schoonmaker",DAL,"TE51","10","2 out of 5 stars","-17"
"394",15,"Cade Stover",HOU,"TE52","6","3 out of 5 stars","+88"
"395",15,"Antwane Wells Jr.",NYG,"WR140","14","2 out of 5 stars","-"
"396",15,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-149"
"397",15,"Tyrod Taylor",NYJ,"QB43","9","5 out of 5 stars","+209"
"398",15,"Jonathon Brooks",CAR,"RB111","14","3 out of 5 stars","+404"
"399",15,"Chad Ryland",ARI,"K26","8","3 out of 5 stars","-78"
"400",15,"Tommy Tremble",CAR,"TE53","14","4 out of 5 stars","+26"
"401",15,"Arian Smith",NYJ,"WR141","9","4 out of 5 stars","+172"
"402",15,"Ja'Quinden Jackson",JAC,"RB112","8","2 out of 5 stars","+447"
"403",15,"Efton Chism III",NE,"WR142","14","3 out of 5 stars","-67"
"404",15,"Josh Oliver",MIN,"TE54","6","3 out of 5 stars","-40"
"405",15,"Jamari Thrash",CLE,"WR143","9","2 out of 5 stars","+136"
"406",15,"Jeremy McNichols",WAS,"RB113","12","2 out of 5 stars","+166"
"407",15,"Blake Grupe",NO,"K27","11","5 out of 5 stars","-85"
"408",15,"Joe Milton III",DAL,"QB44","10","2 out of 5 stars","-63"
"409",15,"Aidan O'Connell",LV,"QB45","8","3 out of 5 stars","+135"
"410",15,"Pierre Strong Jr.",CLE,"RB114","9","4 out of 5 stars","+269"
"411",15,"Mason Rudolph",PIT,"QB46","5","4 out of 5 stars","-57"
"412",15,"Dare Ogunbowale",HOU,"RB115","6","2 out of 5 stars","+244"
"413",15,"Xavier Hutchinson",HOU,"WR144","6","4 out of 5 stars","+269"
"414",15,"New Orleans Saints",NO,"DST28","11","4 out of 5 stars","-139"
"415",15,"Clyde Edwards-Helaire",NO,"RB116","11","4 out of 5 stars","+137"
"416",15,"Kendrick Bourne",NE,"WR145","14","3 out of 5 stars","+29"
"417",15,"JuJu Smith-Schuster",KC,"WR146","10","3 out of 5 stars","-69"
"418",15,"Jalin Hyatt",NYG,"WR147","14","2 out of 5 stars","-44"
"419",15,"Jordan Watkins",SF,"WR148","14","4 out of 5 stars","+160"
"420",15,"Grant Calcaterra",PHI,"TE55","9","3 out of 5 stars","-29"
"421",15,"Cairo Santos",CHI,"K28","5","1 out of 5 stars","-125"
"422",15,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","+153"
"423",15,"Javon Baker",NE,"WR149","14","3 out of 5 stars","+385"
"424",15,"Jonathan Mingo",DAL,"WR150","10","2 out of 5 stars","+106"
"425",15,"Tyler Johnson",NYJ,"WR151","9","4 out of 5 stars","+200"
"426",15,"Deshaun Watson",CLE,"QB47","9","2 out of 5 stars","-37"
"427",15,"D'Ernest Johnson",BAL,"RB117","7","4 out of 5 stars","-"
"428",15,"Alec Ingold",MIA,"RB118","12","4 out of 5 stars","+239"
"429",15,"Graham Gano",NYG,"K29","14","0 out of 5 stars","-109"
"430",15,"Devontez Walker",BAL,"WR152","7","3 out of 5 stars","+116"
"431",15,"Chris Tyree",NO,"RB119","11","4 out of 5 stars","-"
"432",15,"Mitchell Evans",CAR,"TE57","14","4 out of 5 stars","-13"
"433",15,"Malik Willis",GB,"QB48","5","2 out of 5 stars","-67"
"434",15,"Malachi Corley",NYJ,"WR153","9","4 out of 5 stars","+234"
"435",15,"Carson Steele",KC,"RB120","10","2 out of 5 stars","-32"
"436",15,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-170"
"437",15,"Stone Smartt",NYJ,"TE58","9","3 out of 5 stars","+334"
"438",15,"Jake Haener",NO,"QB49","11","5 out of 5 stars","+343"
"439",15,"Greg Dulcich",NYG,"TE59","14","2 out of 5 stars","+439"
"440",15,"Zach Wilson",MIA,"QB50","12","5 out of 5 stars","+2"
"441",15,"Elijah Higgins",ARI,"TE60","8","5 out of 5 stars","-64"
"442",15,"Kalif Raymond",DET,"WR154","8","3 out of 5 stars","-46"
"443",15,"Marcus Yarns",NO,"RB121","11","4 out of 5 stars","+253"
"444",15,"Will Howard",PIT,"QB51","5","4 out of 5 stars","-74"
"445",15,"George Holani",SEA,"RB122","8","3 out of 5 stars","+95"
"446",15,"Darnell Washington",PIT,"TE61","5","3 out of 5 stars","-106"
"447",15,"Tyler Goodson",IND,"RB123","11","2 out of 5 stars","+122"
"448",15,"Hunter Luepke",DAL,"RB124","10","2 out of 5 stars","+181"
"449",15,"Josh Whyle",TEN,"TE62","10","3 out of 5 stars","+159"
"450",15,"Bub Means",NO,"WR155","11","4 out of 5 stars","+359"
"451",15,"Michael Gallup",WAS,"WR156","12","3 out of 5 stars","+189"
"452",15,"Cordarrelle Patterson",FA,"RB125","-","-","+146"
"453",15,"Deuce Vaughn",DAL,"RB126","10","2 out of 5 stars","-35"
"454",15,"Julius Chestnut",TEN,"RB127","10","2 out of 5 stars","+45"
"455",15,"Marcus Mariota",WAS,"QB52","12","2 out of 5 stars","-45"
"456",15,"Michael Carter",ARI,"RB128","8","3 out of 5 stars","+94"
"457",15,"Casey Washington",ATL,"WR157","5","3 out of 5 stars","+343"
"458",15,"Luke Lachey",HOU,"TE63","6","3 out of 5 stars","-"
"459",15,"KhaDarel Hodge",ATL,"WR158","5","3 out of 5 stars","+122"
"460",15,"Jaydn Ott",FA,"RB129","-","-","-"
"461",15,"Carlos Washington Jr.",ATL,"RB130","5","4 out of 5 stars","-"
"462",15,"Daniel Bellinger",NYG,"TE64","14","2 out of 5 stars","-23"
"463",15,"Sam Howell",MIN,"QB53","6","2 out of 5 stars","-36"
"464",15,"Julian Hill",MIA,"TE65","12","3 out of 5 stars","-67"
"465",16,"Dylan Laube",LV,"RB131","8","2 out of 5 stars","+342"
"466",16,"DeeJay Dallas",ARI,"RB132","8","3 out of 5 stars","+186"
"467",16,"Lucky Jackson",MIN,"WR159","6","2 out of 5 stars","+71"
"468",16,"Jake Bobo",SEA,"WR160","8","3 out of 5 stars","-106"
"469",16,"Jacksonville Jaguars",JAC,"DST30","8","4 out of 5 stars","-181"
"470",16,"Cedrick Wilson Jr.",NO,"WR161","11","4 out of 5 stars","+75"
"471",16,"Thomas Fidone II",NYG,"TE66","14","2 out of 5 stars","+308"
"472",16,"Kylen Granson",PHI,"TE67","9","3 out of 5 stars","+144"
"473",16,"K.J. Osborn",WAS,"WR162","12","3 out of 5 stars","+261"
"474",16,"Jimmy Horn Jr.",CAR,"WR163","14","4 out of 5 stars","-114"
"475",16,"David Bell",CLE,"WR164","9","2 out of 5 stars","+143"
"476",16,"Gardner Minshew II",KC,"QB54","10","3 out of 5 stars","-64"
"477",16,"Hunter Long",JAC,"TE68","8","3 out of 5 stars","-"
"478",16,"Tennessee Titans",TEN,"DST31","10","5 out of 5 stars","-191"
"479",16,"Jacoby Brissett",ARI,"QB55","8","4 out of 5 stars","+169"
"480",16,"Carolina Panthers",CAR,"DST32","14","3 out of 5 stars","-156"
"481",16,"Tyquan Thornton",KC,"WR165","10","3 out of 5 stars","+85"
"482",16,"Quinn Ewers",MIA,"QB56","12","5 out of 5 stars","-62"
"483",16,"Mac Jones",SF,"QB57","14","4 out of 5 stars","-101"
"484",16,"Tyler Badie",DEN,"RB133","12","2 out of 5 stars","+193"
"485",16,"Beaux Collins",NYG,"WR166","14","2 out of 5 stars","+244"
"486",16,"C.J. Ham",MIN,"RB134","6","3 out of 5 stars","-13"
"487",16,"Patrick Ricard",BAL,"RB135","7","4 out of 5 stars","-21"
"488",16,"Colby Parkinson",LAR,"TE69","8","4 out of 5 stars","+77"
"489",16,"Michael Burton",DEN,"RB136","12","2 out of 5 stars","+87"
"490",16,"Andrew Beck",NYJ,"TE70","9","3 out of 5 stars","+371"
"491",16,"Pharaoh Brown",MIA,"TE71","12","3 out of 5 stars","+213"
"492",16,"Brock Wright",DET,"TE72","8","3 out of 5 stars","-107"
"493",16,"Ezekiel Elliott",FA,"RB137","-","-","-28"
"494",16,"John Bates",WAS,"TE73","12","3 out of 5 stars","+28"
"495",16,"Harrison Bryant",HOU,"TE74","6","3 out of 5 stars","+179"
"496",16,"Jase McClellan",TB,"RB138","9","3 out of 5 stars","+303"
"497",16,"Luke Farrell",SF,"TE75","14","3 out of 5 stars","+104"
"498",16,"Rasheen Ali",BAL,"RB139","7","4 out of 5 stars","+93"
"499",16,"Jake Browning",CIN,"QB58","10","2 out of 5 stars","-86"
"500",16,"Cooper Rush",BAL,"QB59","7","3 out of 5 stars","-98"
"501",16,"Charlie Woerner",ATL,"TE76","5","3 out of 5 stars","+110"
"502",16,"Tanner Hudson",CIN,"TE77","10","2 out of 5 stars","+155"
"503",16,"Jakob Johnson",HOU,"RB140","6","2 out of 5 stars","+212"
"504",16,"David Moore",CAR,"WR167","14","4 out of 5 stars","-109"
"505",16,"Tylan Wallace",BAL,"WR168","7","3 out of 5 stars","-52"
"506",16,"Adam Trautman",DEN,"TE78","12","3 out of 5 stars","-85"
"507",16,"Johnny Mundt",JAC,"TE79","8","3 out of 5 stars","+195"
"508",16,"Scotty Miller",PIT,"WR169","5","4 out of 5 stars","+74"