"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Indianapolis Colts",IND,"vs. TEN","5 out of 5 stars","A+","8.3"
"2","New England Patriots",NE,"vs. CLE","5 out of 5 stars","A","8.2"
"3","Kansas City Chiefs",KC,"vs. WAS","3 out of 5 stars","A","8.2"
"4","Atlanta Falcons",ATL,"vs. MIA","5 out of 5 stars","A-","8.0"
"5","Philadelphia Eagles",PHI,"vs. NYG","4 out of 5 stars","B+","8.0"
"6","Buffalo Bills",BUF,"at CAR","5 out of 5 stars","B+","7.5"
"7","Houston Texans",HOU,"vs. SF","3 out of 5 stars","B","7.3"
"8","Tampa Bay Buccaneers",TB,"at NO","3 out of 5 stars","B","7.0"
"9","Cincinnati Bengals",CIN,"vs. NYJ","5 out of 5 stars","B","6.8"
"10","Green Bay Packers",GB,"at PIT","2 out of 5 stars","B","6.8"
"11","Los Angeles Chargers",LAC,"vs. MIN","5 out of 5 stars","B-","6.6"
"12","Denver Broncos",DEN,"vs. DAL","1 out of 5 stars","B-","6.5"
"13","Minnesota Vikings",MIN,"at LAC","4 out of 5 stars","C+","6.5"
"14","San Francisco 49ers",SF,"at HOU","3 out of 5 stars","C+","6.5"
"15","Pittsburgh Steelers",PIT,"vs. GB","1 out of 5 stars","C","6.4"
"16","Cleveland Browns",CLE,"at NE","3 out of 5 stars","C","5.8"
"17","Baltimore Ravens",BAL,"vs. CHI","1 out of 5 stars","C-","5.8"
"18","New York Jets",NYJ,"at CIN","4 out of 5 stars","D+","5.7"
"19","New York Giants",NYG,"at PHI","2 out of 5 stars","D","5.6"
"20","New Orleans Saints",NO,"vs. TB","1 out of 5 stars","D","5.5"
"21","Chicago Bears",CHI,"at BAL","3 out of 5 stars","D","5.5"
""
"22","Dallas Cowboys",DAL,"at DEN","2 out of 5 stars","D-","5.2"
"23","Miami Dolphins",MIA,"at ATL","3 out of 5 stars","D-","5.1"
"24","Washington Commanders",WAS,"at KC","1 out of 5 stars","F","4.5"
"25","Carolina Panthers",CAR,"vs. BUF","2 out of 5 stars","F","4.4"
"26","Tennessee Titans",TEN,"at IND","1 out of 5 stars","F","4.2"